game_date,game_id,team,opponent,home_away,NFL 1,NFL 2,NFL 3,NFL 4,NFL 5,NFL 6,NFL 7,NFL 8,NFL 9,NFL 10,NFL 11,NFL 12,NFL 13,NFL 14,NFL 15,NFL 16,NFL 17,NFL 18,NFL 19,NFL 20,NFL 21,NFL 22,NFL 23,NFL 24,NFL 25,NFL 26,NFL 27,NFL 28,NFL 29,NFL 30,NFL 31,NFL 32,NFL 33,NFL 34,NFL 35,NFL 36,QB_YDS,RB_YDS,WR_YDS,K_FG_PCT
2025-11-16,401772883,NYG,GB,H,60.99,20.5,47.62,92.86,21.7,-0.4,0.4,0.4,2.1,7.9,223.6,123.0,224.8,39.55,116.6,14.0,,0.3,2.1,,,,0.6,7.9,65.2,0.0,,,83.33,2.4,2.0,56.94,44.33,32.3,28.5,90.0,,,,
2025-11-16,401772883,GB,NYG,A,68.88,20.56,64.29,71.43,23.67,-0.111,0.333,0.444,2.444,7.333,249.67,111.89,249.67,47.79,85.44,18.0,,0.444,2.444,,,,0.667,7.333,54.22,0.0,,,95.65,2.556,2.444,63.02,51.15,31.78,28.33,90.0,,,,
2025-11-16,401772774,PIT,CIN,H,67.03,16.67,42.86,85.0,23.56,0.667,0.889,0.333,3.556,6.0,207.22,85.67,207.22,36.0,100.44,14.11,,1.222,3.556,,,,1.778,6.0,43.67,0.0,,,100.0,2.333,2.333,59.12,47.59,30.67,22.33,90.0,,,,
2025-11-16,401772774,CIN,PIT,A,63.96,19.33,83.33,81.25,24.0,-0.556,0.889,0.444,1.444,5.222,244.44,78.78,244.44,40.37,133.78,26.89,,0.222,1.444,,,,1.0,5.222,35.33,0.0,,,100.0,2.556,2.556,58.61,52.79,37.0,18.78,90.0,,,,
2025-11-16,401772775,JAX,LAC,H,59.49,19.89,61.11,80.0,22.78,0.889,1.333,0.222,1.333,9.222,222.0,120.33,222.0,36.36,96.89,7.78,,0.667,1.333,,,,1.889,9.222,77.56,0.0,,,95.0,2.222,2.111,59.39,47.17,35.11,27.56,90.0,,,,
2025-11-16,401772775,LAC,JAX,A,67.13,21.4,72.73,92.0,24.0,-0.1,0.9,0.4,2.9,7.1,265.4,123.1,265.4,47.55,93.6,20.9,,0.5,2.9,,,,1.1,7.1,50.0,0.0,,,100.0,2.3,2.3,61.68,49.07,36.2,26.4,90.0,,,,
2025-11-16,401772884,LAR,SEA,H,66.88,23.89,73.33,66.67,27.89,0.778,0.667,0.556,3.0,4.556,269.67,113.44,269.67,41.0,74.0,19.78,,1.0,3.0,,,,1.556,4.556,38.44,0.0,,,90.62,3.556,3.222,61.04,48.08,34.56,27.56,90.0,,,,
2025-11-16,401772884,SEA,LAR,A,70.69,19.89,66.67,80.95,30.56,-0.444,1.0,1.0,3.556,6.0,253.0,114.33,253.0,39.22,96.0,17.56,,0.333,3.556,,,,1.333,6.0,50.33,0.0,,,100.0,3.556,3.556,62.25,49.34,25.78,30.22,90.0,,,,
2025-11-16,401772885,ARI,SF,H,64.47,19.67,46.15,88.23,22.44,0.333,0.667,0.667,2.0,6.778,228.0,113.44,231.11,44.8,104.56,11.67,,1.222,2.0,,,,1.444,6.778,48.89,0.0,,,100.0,2.333,2.333,59.09,47.56,35.33,25.22,90.0,,,,
2025-11-16,401772885,SF,ARI,A,68.78,21.6,53.33,90.91,22.0,-0.8,0.1,0.5,1.2,6.1,273.7,94.8,273.7,46.51,79.3,19.1,,0.8,1.2,,,,0.7,6.1,46.7,0.0,,,90.0,2.0,1.8,59.42,44.83,36.2,27.0,90.0,,,,
2025-11-16,401772777,CLE,BAL,H,58.38,17.44,55.0,80.0,16.22,0.111,0.778,0.222,3.0,7.0,185.89,97.11,187.11,33.59,100.11,35.56,,1.0,3.0,,,,1.222,7.0,55.22,0.0,,,93.33,1.667,1.556,57.57,45.98,37.11,24.67,90.0,,,,
2025-11-16,401772777,BAL,CLE,A,69.2,18.67,42.86,88.89,25.44,0.0,0.556,0.556,1.333,6.0,200.67,137.33,200.67,40.19,124.89,8.67,,0.889,1.333,,,,1.111,6.0,48.56,0.0,,,95.83,2.667,2.556,56.72,51.07,26.33,27.11,90.0,,,,
2025-11-16,401772778,DEN,KC,H,60.86,19.1,50.0,80.0,23.5,-0.4,0.5,0.4,4.6,8.3,212.6,128.6,212.6,37.59,91.6,22.1,,0.7,4.6,,,,0.8,8.3,73.6,0.0,,,100.0,2.3,2.3,63.0,47.74,35.0,27.0,90.0,,,,
2025-11-16,401772778,KC,DEN,A,64.56,22.78,80.0,82.35,26.11,0.444,0.667,0.0,2.222,6.556,258.78,121.22,261.0,41.59,97.33,7.11,,0.444,2.222,,,,1.0,6.556,56.44,0.0,,,88.46,2.889,2.556,59.78,44.91,35.11,27.22,90.0,,,,
2025-11-16,401772928,PHI,DET,H,68.88,17.33,68.75,80.0,24.22,0.556,0.556,0.333,2.111,6.778,204.67,111.56,206.67,34.86,94.89,32.56,,0.667,2.111,,,,1.0,6.778,60.78,0.0,,,100.0,2.889,2.889,59.07,51.77,26.78,28.0,90.0,,,,
2025-11-16,401772928,DET,PHI,A,73.55,20.44,72.22,75.0,31.44,0.667,0.889,0.333,3.333,6.111,248.67,136.33,248.67,37.5,96.22,16.33,,1.0,3.333,,,,1.333,6.111,43.56,0.0,,,97.06,3.778,3.667,59.7,47.25,30.67,28.89,90.0,,,,
